,EP,BP,SP,CFP,financial_leverage,debtequityratio,cashratio,currentratio,NI,GPM,ROE,ROA,asset_turnover,net_operating_cash_flow,Sales_G_q,Profit_G_q,RSI,BIAS,PSY,DIF,DEA,MACD,AR,ARBR,ATR14,VOL5,VOL60,Skewness20,Skewness60
000001.XSHE,0.1121327651939897,0.598014591556034,0.32160545442850713,0.23991171248980378,21.711358583488924,,,,0.348669,0.435547,0.187505,0.008636,0.024769,7.204772,0.192388,0.249087,54.99295137012737,1.096491228070191,60.0,0.035323706424953194,0.021105785342487617,0.028435842164931155,144.184361,5.415937,12.033571,1.09476,0.922047,-0.392794,-0.467018
000009.XSHE,0.01640441475609916,0.1257276487672404,0.16212973621491916,0.0030830787994861127,2.699273742968852,0.7468919238086938,-0.162221,2.040106,0.137278,0.383762,0.130475,0.044051,0.320887,0.568558,-0.016092,0.080764,47.16986657299861,-8.108710180441076,40.0,-0.053228851545581435,0.2646570738709252,-0.6357718508330132,92.887894,40.140042,4.926429,3.68762,4.920667,0.19981,0.250014
000012.XSHE,0.03402517863218782,0.1492893825391138,0.18106757441877308,0.0005750856230607034,1.844831535712237,0.4305865871947437,0.028546,0.73944,0.20622,0.361612,0.227915,0.128068,0.621025,1.975328,0.466906,0.746055,45.759584664701826,-5.019730200972766,35.0,0.0038891249189028088,0.21279471048029153,-0.41781117112277744,100.373172,12.549962,14.684286,2.39756,2.96983,0.620018,0.925171
000021.XSHE,0.027220883862099,0.29633141705683635,1.4714537963507945,-0.014477248280464837,1.4886196530457902,0.011740200700940041,-0.242161,1.900039,0.017155,0.024365,0.091861,0.053452,3.115791,-1.803499,0.549501,0.339951,43.769316532593244,-3.4831293662983667,55.00000000000001,-0.13777954260294045,-0.02793960878570006,-0.21967986763448077,61.553371,-21.374988,4.783571,0.70158,0.678198,-0.720466,-0.926325
000024.XSHE,0.06609778506322253,0.5983366241847663,0.45291906336337695,0.004565615890169544,2.828831799695709,0.48068518828135953,-0.080076,1.880572,0.180229,0.397756,0.110471,0.041526,0.230405,-3.777806,0.359522,0.415808,60.4769001039917,5.36649214659684,60.0,0.2860350336938726,0.12282762167056825,0.3264148240466087,199.957483,26.083259,3.282143,3.28308,2.412317,0.617632,-0.173888
000027.XSHE,0.06277897406600581,0.6317917614354309,0.5747456750387954,0.03295327225993541,1.8222287323553454,0.38988603436376584,-0.042512,1.123455,0.146382,0.219528,0.116267,0.063764,0.435599,1.681124,0.308135,-0.086019,47.02059186048738,-1.4402711098559524,45.0,0.008676512885695153,0.013301123553095286,-0.009249221334800266,89.563567,-25.854222,1.746429,0.31988,0.352707,0.429195,-0.53473
000031.XSHE,0.0324083976640027,0.43260079598546464,0.1795783500341199,-0.05993083981085827,2.6774074215362593,0.6242049795309695,-0.02206,1.877633,0.173312,0.359496,0.074914,0.024435,0.140989,-19.128916,1.129267,1.057447,53.569337393657214,1.2465021622996715,50.0,0.058954313908635037,0.028511753680678053,0.06088512045591397,146.790757,-4.106469,3.337857,0.91732,0.577187,-0.246596,0.97513
000039.XSHE,0.046979235178051304,0.25389087770076424,0.8101758081503687,-0.00937611341346785,2.818321158762307,0.2578586639037419,-0.029848,1.127461,0.05507,0.157828,0.185036,0.052666,0.956359,7.896489,1.528304,1.637948,44.45508279493364,-5.797777985248829,40.0,-0.23133292986606868,0.03499269605180754,-0.5326512518357525,74.471452,4.373342,19.813571,1.67352,1.383203,0.350808,0.562076
000046.XSHE,0.0184396718475998,0.39148136548700285,0.12706157403877918,-0.03592160468992471,2.3757344702870156,0.9879789953699425,-0.182035,6.07187,0.142734,0.454515,0.047103,0.016382,0.114775,-5.620211,0.578169,0.742624,54.85892631039337,2.3281751010734673,45.0,0.037526725473883804,0.006014000839698395,0.06302544926837082,153.184263,16.856654,3.315,1.22162,1.28263,0.218491,-0.395763
000060.XSHE,0.02141988107682026,0.13872319174319564,0.29243186337583343,-0.00512620984960213,2.589333095958048,0.47428146130481164,0.006822,0.966528,0.098422,0.207285,0.154406,0.065198,0.660268,2.307877,0.27407,0.827102,52.54466189097629,2.2480885541481337,45.0,-0.02531306920267795,-0.04880732901565395,0.04698851962595199,107.082731,6.515852,12.897857,2.75396,1.70926,0.010003,0.029078
